Date;Heures;Conso_stade;Conso_scolaire;Conso_inactif;Conso_Actif;Solaire
01/01/2020;00:00;0.561;2.64;0.86;0.86;0
01/01/2020;01:00;0.495;2.25;0.73;0.73;0
01/01/2020;02:00;0.297;1.95;0.6;0.9;0
01/01/2020;03:00;0.297;1.98;0.6;0.9;0
01/01/2020;04:00;0.297;1.8;0.6;0.9;0
01/01/2020;05:00;0.396;2.1;1;1.5;0
01/01/2020;06:00;0.363;3.9;1.8;2.7;0
01/01/2020;07:00;0.297;5.1;1.9;2.9;175
01/01/2020;08:00;0.297;9.3;1.6;2.4;640
01/01/2020;09:00;0.2805;10.8;1.2;1.8;1464
01/01/2020;10:00;0.264;12;0.53;0.9;2100
01/01/2020;11:00;0.264;12.6;0.54;0.8;2426
01/01/2020;12:00;0.264;11.1;0.53;0.95;2354
01/01/2020;13:00;0.264;6.6;0.53;1.1;1875
01/01/2020;14:00;0.264;11.7;0.53;1.05;1038
01/01/2020;15:00;0.297;12.3;0.55;0.9;330
01/01/2020;16:00;0.297;12.9;0.53;1.1;131
01/01/2020;17:00;0.528;14.1;1.2;1.8;0
01/01/2020;18:00;0.594;9.24;2.54;2.53;0
01/01/2020;19:00;0.627;7.5;2.27;2.26;0
01/01/2020;20:00;0.627;6.6;1.4;1.4;0
01/01/2020;21:00;0.594;5.7;1.87;1.86;0
01/01/2020;22:00;0.627;3.6;1.26;1.26;0
01/01/2020;23:00;0.561;3.3;1.2;1.2;0
02/01/2020;00:00;0.561;2.64;0.73;0.73;0
02/01/2020;01:00;0.495;2.25;0.6;0.6;0
02/01/2020;02:00;0.297;1.95;0.57;0.56;0
02/01/2020;03:00;0.297;1.98;0.56;0.56;0
02/01/2020;04:00;0.297;1.8;0.55;0.56;0
02/01/2020;05:00;0.396;2.1;1;1;0
02/01/2020;06:00;0.363;3.9;1.8;2.7;0
02/01/2020;07:00;0.297;5.1;1.9;2.9;161
02/01/2020;08:00;0.297;9.3;1.6;2.4;568
02/01/2020;09:00;0.2805;10.8;1.2;1.8;1508
02/01/2020;10:00;0.264;12;0.51;0.9;2006
02/01/2020;11:00;0.264;12.6;0.53;0.85;2268
02/01/2020;12:00;0.264;11.1;0.49;1;2108
02/01/2020;13:00;0.264;6.6;0.53;1.05;1696
02/01/2020;14:00;0.264;11.7;0.54;0.78;1010
02/01/2020;15:00;0.297;12.3;0.53;0.92;392
02/01/2020;16:00;0.297;12.9;0.53;0.99;132
02/01/2020;17:00;0.528;14.1;1.2;1.2;0
02/01/2020;18:00;0.594;9.24;2.53;2.53;0
02/01/2020;19:00;0.627;7.5;2.26;2.26;0
02/01/2020;20:00;0.627;6.6;1.4;1.4;0
02/01/2020;21:00;0.594;5.7;1.86;1.86;0
02/01/2020;22:00;0.627;3.6;1.27;1.26;0
02/01/2020;23:00;0.561;3.3;1.2;1.2;0
03/01/2020;00:00;0.561;2.64;0.9;0.73;0
03/01/2020;01:00;0.495;2.25;0.85;0.6;0
03/01/2020;02:00;0.297;1.95;0.62;0.56;0
03/01/2020;03:00;0.297;1.98;0.6;0.57;0
03/01/2020;04:00;0.297;1.8;0.58;0.56;0
03/01/2020;05:00;0.396;2.1;1;1;0
03/01/2020;06:00;0.363;3.9;1.3;2.7;0
03/01/2020;07:00;0.297;5.1;1.9;2.9;158
03/01/2020;08:00;0.297;9.3;1.6;2.4;496
03/01/2020;09:00;0.2805;10.8;1.2;1.8;1091
03/01/2020;10:00;0.264;12;0.51;0.96;1523
03/01/2020;11:00;0.264;12.6;0.53;1.03;1763
03/01/2020;12:00;0.264;11.1;0.49;0.91;1675
03/01/2020;13:00;0.264;6.6;0.53;0.85;1311
03/01/2020;14:00;0.264;11.7;0.54;0.93;753
03/01/2020;15:00;0.297;12.3;0.53;1.1;328
03/01/2020;16:00;0.297;12.9;0.53;0.69;139
03/01/2020;17:00;0.528;14.1;1.2;1.2;0
03/01/2020;18:00;0.594;9.24;1.7;2.53;0
03/01/2020;19:00;0.627;7.5;2.83;2.26;0
03/01/2020;20:00;0.627;6.6;2.9;2.3;0
03/01/2020;21:00;0.594;5.7;3.1;2.51;0
03/01/2020;22:00;0.627;3.6;3.4;2.6;0
03/01/2020;23:00;0.561;3.3;2.8;1.8;0
04/01/2020;00:00;0.594;2.64;1.95;0.73;0
04/01/2020;01:00;0.561;2.25;1.2;0.65;0
04/01/2020;02:00;0.363;1.95;0.9;0.58;0
04/01/2020;03:00;0.3465;1.98;0.85;0.57;0
04/01/2020;04:00;0.33;1.8;0.62;0.56;0
04/01/2020;05:00;0.396;2.1;0.6;0.9;0
04/01/2020;06:00;0.363;2.4;0.58;1.9;0
04/01/2020;07:00;0.297;2.1;1;2.9;178
04/01/2020;08:00;0.297;1.95;1.3;2.4;652
04/01/2020;09:00;0.2805;1.98;1.5;1.8;1497
